# Sample Market Data CSV
# Format: Timestamp,Type,Symbol,BidPrice,BidQty,AskPrice,AskQty (for quotes)
# Format: Timestamp,Type,Symbol,Price,Qty (for trades)
# Timestamp can be in nanoseconds or HH:MM:SS.mmm format
#
# Symbols in this file (each has a distinct microstructure regime):
#   SYNTH1  ~101.25  liquid, mean-reverting, tight spread
#   SYNTH2  ~248.50  steady upward drift, moderate liquidity
#   SYNTH3   ~87.40  thin book, wide spreads, sparse prints
#   SYNTH4   ~34.20  volatile, heavily traded, one-tick spread
#   SYNTH5 ~1250.00  high-priced, small sizes, wide absolute spread
#
# Rows are sorted by timestamp across all symbols, as a consolidated feed
# would deliver them. Same-millisecond events occur and are intentional.
Timestamp,Type,Symbol,BidPrice,BidQty,AskPrice,AskQty,Price,Qty
09:30:00.003,Q,SYNTH3,87.37,55,87.49,50,,
09:30:00.160,Q,SYNTH2,248.48,200,248.53,150,,
09:30:00.173,Q,SYNTH4,34.18,900,34.19,1100,,
09:30:00.190,T,SYNTH2,,,,,248.53,65
09:30:00.215,Q,SYNTH1,101.23,175,101.25,150,,
09:30:00.241,Q,SYNTH5,1249.62,6,1249.95,3,,
09:30:00.586,Q,SYNTH1,101.24,275,101.25,225,,
09:30:00.675,Q,SYNTH4,34.19,1000,34.20,1100,,
09:30:01.540,Q,SYNTH4,34.21,200,34.22,600,,
09:30:01.840,Q,SYNTH4,34.22,500,34.23,200,,
09:30:02.015,Q,SYNTH1,101.23,125,101.25,250,,
09:30:02.051,T,SYNTH4,,,,,34.22,225
09:30:02.690,Q,SYNTH4,34.24,300,34.25,1100,,
09:30:03.496,Q,SYNTH4,34.25,1100,34.26,500,,
09:30:03.496,Q,SYNTH4,34.24,1100,34.25,1100,,
09:30:03.496,T,SYNTH4,,,,,34.24,325
09:30:03.847,T,SYNTH2,,,,,248.53,50
09:30:04.641,Q,SYNTH2,248.51,150,248.55,75,,
09:30:05.360,Q,SYNTH1,101.24,300,101.26,400,,
09:30:05.703,Q,SYNTH2,248.53,150,248.57,225,,
09:30:06.167,T,SYNTH4,,,,,34.24,225
09:30:06.265,Q,SYNTH4,34.24,600,34.25,300,,
09:30:06.670,Q,SYNTH2,248.56,250,248.58,75,,
09:30:06.955,T,SYNTH2,,,,,248.58,30
09:30:07.000,T,SYNTH4,,,,,34.25,50
09:30:07.269,T,SYNTH2,,,,,248.56,15
09:30:07.456,Q,SYNTH1,101.23,350,101.25,300,,
09:30:08.279,Q,SYNTH3,87.37,5,87.50,10,,
09:30:08.844,T,SYNTH3,,,,,87.50,7
09:30:09.965,Q,SYNTH2,248.52,150,248.55,50,,
09:30:10.235,Q,SYNTH4,34.22,1000,34.23,700,,
09:30:10.634,T,SYNTH2,,,,,248.55,25
09:30:10.992,T,SYNTH2,,,,,248.52,50
