transport,execution_mode,trade_id,status,send_ns,receive_ns,latency_ns
tcp,engine_spin,33,A,68700723545087,68700723572541,27454
tcp,engine_spin,34,A,68701044910453,68701044948860,38407
tcp,engine_spin,35,A,68701818740092,68701818779920,39828
tcp,engine_spin,36,A,68702083058506,68702083091614,33108
tcp,engine_spin,44,A,68709712028250,68709712064871,36621
tcp,engine_spin,47,A,68713687111997,68713687144436,32439
tcp,engine_spin,49,A,68714752031503,68714752068195,36692
tcp,engine_spin,50,A,68715483813733,68715483849115,35382
tcp,engine_spin,53,R,68718329800357,68718329833191,32834
tcp,engine_spin,57,A,68721392015143,68721392054463,39320
tcp,engine_spin,62,R,68723820642776,68723820682387,39611
tcp,engine_spin,67,R,68725828830926,68725828864297,33371
tcp,engine_spin,68,R,68726529577878,68726529615504,37626
tcp,engine_spin,69,R,68726840939831,68726840976269,36438
tcp,engine_spin,72,A,68736495706129,68736495745895,39766
tcp,engine_spin,83,A,68748646992072,68748647010131,18059
tcp,engine_spin,84,A,68750839215978,68750839258388,42410
tcp,engine_spin,85,A,68753508012183,68753508047731,35548
tcp,engine_spin,89,A,68756587238664,68756587274199,35535
tcp,engine_spin,91,A,68759019762950,68759019801530,38580
tcp,engine_spin,94,A,68766062914359,68766062951654,37295
tcp,engine_spin,98,A,68768858796656,68768858822037,25381
tcp,engine_spin,99,A,68769792013642,68769792052835,39193
tcp,engine_spin,109,A,68776671999954,68776672044882,44928
tcp,engine_spin,112,A,68781740192205,68781740210624,18419
tcp,engine_spin,115,R,68782224825293,68782224846140,20847
tcp,engine_spin,121,A,68785523243916,68785523272448,28532
tcp,engine_spin,124,A,68787867700322,68787867736453,36131
tcp,engine_spin,127,A,68790147107387,68790147144459,37072
tcp,engine_spin,140,A,68802966033540,68802966071985,38445
tcp,engine_spin,143,A,68804007190742,68804007228954,38212
tcp,engine_spin,145,A,68804919171139,68804919196537,25398
tcp,engine_spin,146,R,68806288580476,68806288619320,38844
tcp,engine_spin,149,R,68809464012272,68809464037263,24991
tcp,engine_spin,151,A,68819492117473,68819492141503,24030
tcp,engine_spin,152,A,68820383051622,68820383082220,30598
tcp,engine_spin,153,A,68820541252719,68820541282678,29959
tcp,engine_spin,156,R,68822863679948,68822863716072,36124
tcp,engine_spin,161,R,68828978902080,68828978940600,38520
tcp,engine_spin,164,R,68832582536554,68832582565803,29249
tcp,engine_spin,176,A,68846412016688,68846412055072,38384
tcp,engine_spin,180,A,68848821568560,68848821594670,26110
tcp,engine_spin,181,A,68853092014678,68853092054026,39348
tcp,engine_spin,187,A,68857019177991,68857019215751,37760
tcp,engine_spin,190,A,68859170220684,68859170259526,38842
tcp,engine_spin,192,A,68863020152461,68863020191878,39417
tcp,engine_spin,193,A,68863426615025,68863426672678,57653
tcp,engine_spin,198,A,68870807150218,68870807185746,35528
tcp,engine_spin,200,A,68871296707982,68871296744600,36618
tcp,engine_spin,202,R,68871527051205,68871527069177,17972
tcp,engine_spin,203,R,68871619170110,68871619187866,17756
tcp,engine_spin,204,A,68873358154552,68873358184745,30193
tcp,engine_spin,207,R,68875991907615,68875995508134,3600519
tcp,engine_spin,210,A,68879698921322,68879698956736,35414
tcp,engine_spin,224,R,68886189599063,68886189632702,33639
tcp,engine_spin,225,R,68886592015691,68886592502964,487273
tcp,engine_spin,228,A,68888543536775,68888543559005,22230
tcp,engine_spin,239,A,68901275344700,68901275381665,36965
tcp,engine_spin,240,A,68901487607512,68901487641607,34095
tcp,engine_spin,255,A,68926664851488,68926664878071,26583
tcp,engine_spin,256,A,68926727953490,68926727982459,28969
tcp,engine_spin,257,A,68927169441238,68927169482939,41701
tcp,engine_spin,265,A,68933916012216,68933916049942,37726
tcp,engine_spin,270,A,68938028855796,68938028895277,39481
tcp,engine_spin,273,A,68942419134498,68942419161321,26823
tcp,engine_spin,277,A,68946320040142,68946320068176,28034
tcp,engine_spin,279,A,68947315113236,68947315149609,36373
tcp,engine_spin,281,R,68948376012703,68948376038570,25867
tcp,engine_spin,282,R,68948376027658,68948376047657,19999
tcp,engine_spin,283,R,68949607191404,68949607227644,36240
tcp,engine_spin,284,R,68949808442203,68949808476314,34111
tcp,engine_spin,287,R,68954513677601,68954513701927,24326
tcp,engine_spin,288,R,68957379578517,68957379607062,28545
tcp,engine_spin,294,A,68963443735558,68963443774567,39009
tcp,engine_spin,297,A,68968966308841,68968966349285,40444
tcp,engine_spin,299,A,68970425871984,68970425888950,16966
tcp,engine_spin,305,A,68976126656793,68976126682772,25979
tcp,engine_spin,307,A,68977797405546,68977797443046,37500
tcp,engine_spin,312,A,68985423139525,68985423179012,39487
tcp,engine_spin,313,A,68987969739019,68987969779779,40760
tcp,engine_spin,315,A,68991616348404,68991616387159,38755
tcp,engine_spin,316,A,68993804589021,68993804621359,32338
