transport,execution_mode,trade_id,status,send_ns,receive_ns,latency_ns
tcp,engine_wait,33,A,64461092887429,64461093086047,198618
tcp,engine_wait,34,A,64461414543392,64461414753271,209879
tcp,engine_wait,35,A,64462187667375,64462187882090,214715
tcp,engine_wait,36,A,64462452274866,64462452492895,218029
tcp,engine_wait,44,A,64470081692065,64470081903549,211484
tcp,engine_wait,47,A,64474056785413,64474056990384,204971
tcp,engine_wait,49,A,64475122384204,64475122594976,210772
tcp,engine_wait,50,A,64475853464480,64475853675025,210545
tcp,engine_wait,53,R,64478698538009,64478698743832,205823
tcp,engine_wait,57,A,64481761620401,64481761829315,208914
tcp,engine_wait,62,R,64484189998578,64484190210799,212221
tcp,engine_wait,67,R,64486198855633,64486199063415,207782
tcp,engine_wait,68,R,64486898875516,64486899070702,195186
tcp,engine_wait,69,R,64487210472628,64487210642140,169512
tcp,engine_wait,72,A,64496864585721,64496864785228,199507
tcp,engine_wait,83,A,64509016173787,64509016359102,185315
tcp,engine_wait,84,A,64511208608632,64511208814634,206002
tcp,engine_wait,85,A,64513876035460,64513876180570,145110
tcp,engine_wait,89,A,64516956718341,64516956923265,204924
tcp,engine_wait,91,A,64519389657168,64519389808856,151688
tcp,engine_wait,94,A,64526432778508,64526432922192,143684
tcp,engine_wait,98,A,64529228035256,64529228221504,186248
tcp,engine_wait,99,A,64530162291608,64530162504528,212920
tcp,engine_wait,109,A,64537040834792,64537041023649,188857
tcp,engine_wait,112,A,64542109251318,64542109429399,178081
tcp,engine_wait,115,R,64542594358587,64542594542378,183791
tcp,engine_wait,121,A,64545892617892,64545892796372,178480
tcp,engine_wait,124,A,64548237456268,64548237647533,191265
tcp,engine_wait,127,A,64550516993748,64550517202623,208875
tcp,engine_wait,140,A,64563335419150,64563335623255,204105
tcp,engine_wait,143,A,64564377048863,64564377263600,214737
tcp,engine_wait,145,A,64565288121184,64565288332681,211497
tcp,engine_wait,146,R,64566657839160,64566658055917,216757
tcp,engine_wait,149,R,64569832049097,64569832215789,166692
tcp,engine_wait,151,A,64579864324797,64579864502075,177278
tcp,engine_wait,152,A,64580752729226,64580752857533,128307
tcp,engine_wait,153,A,64580910143268,64580910332293,189025
tcp,engine_wait,156,R,64583233109654,64583233322293,212639
tcp,engine_wait,161,R,64589349145719,64589349345316,199597
tcp,engine_wait,164,R,64592951402793,64592951590736,187943
tcp,engine_wait,176,A,64606782603906,64606782787922,184016
tcp,engine_wait,180,A,64609190724543,64609190950623,226080
tcp,engine_wait,181,A,64613464094188,64613464240505,146317
tcp,engine_wait,187,A,64617388891286,64617389021794,130508
tcp,engine_wait,190,A,64619538965449,64619539180301,214852
tcp,engine_wait,192,A,64623389317857,64623389484370,166513
tcp,engine_wait,193,A,64623796032487,64623796214673,182186
tcp,engine_wait,198,A,64631176682689,64631176843062,160373
tcp,engine_wait,200,A,64631666612203,64631666823453,211250
tcp,engine_wait,202,R,64631896282375,64631896465004,182629
tcp,engine_wait,203,R,64631988678249,64631988889299,211050
tcp,engine_wait,204,A,64633727740677,64633727920352,179675
tcp,engine_wait,207,R,64636360115773,64636360295327,179554
tcp,engine_wait,210,A,64640068048268,64640068265877,217609
tcp,engine_wait,224,R,64646558646798,64646558841511,194713
tcp,engine_wait,225,R,64646961360080,64646961562556,202476
tcp,engine_wait,228,A,64648912982381,64648913131322,148941
