transport,execution_mode,trade_id,received_ns,send_started_ns,tto_ns
tcp,engine_probe,33,60760244023657,60760244026089,2432
tcp,engine_probe,34,60760566394836,60760566399665,4829
tcp,engine_probe,35,60761340035097,60761340040543,5446
tcp,engine_probe,36,60761604364446,60761604368952,4506
tcp,engine_probe,44,60769234076916,60769234081119,4203
tcp,engine_probe,47,60773208590723,60773208595039,4316
tcp,engine_probe,49,60774273748132,60774273753655,5523
tcp,engine_probe,50,60775004046092,60775004051036,4944
tcp,engine_probe,53,60777851021183,60777851026107,4924
tcp,engine_probe,57,60780913568966,60780913573403,4437
tcp,engine_probe,62,60783341191685,60783341195759,4074
tcp,engine_probe,67,60785350383130,60785350387903,4773
tcp,engine_probe,68,60786051139056,60786051144975,5919
tcp,engine_probe,69,60786362503212,60786362507723,4511
tcp,engine_probe,72,60796016038200,60796016042898,4698
tcp,engine_probe,83,60808168093909,60808168096852,2943
tcp,engine_probe,84,60810360050365,60810360054650,4285
tcp,engine_probe,85,60813028048979,60813028053973,4994
tcp,engine_probe,89,60816108666436,60816108670325,3889
tcp,engine_probe,91,60818540028934,60818540033599,4665
tcp,engine_probe,94,60825584049521,60825584053969,4448
tcp,engine_probe,98,60828380044962,60828380047509,2547
tcp,engine_probe,99,60829314018541,60829314023303,4762
tcp,engine_probe,109,60836192993120,60836192995677,2557
tcp,engine_probe,112,60841261144337,60841261146846,2509
tcp,engine_probe,115,60841745756487,60841745758715,2228
tcp,engine_probe,121,60845044266195,60845044269859,3664
tcp,engine_probe,124,60847389726099,60847389730158,4059
tcp,engine_probe,127,60849668765531,60849668769525,3994
tcp,engine_probe,140,60862487186581,60862487189876,3295
tcp,engine_probe,143,60863528034198,60863528039235,5037
tcp,engine_probe,145,60864440006996,60864440009516,2520
tcp,engine_probe,146,60865809443387,60865809447777,4390
tcp,engine_probe,149,60868986319922,60868986324307,4385
tcp,engine_probe,151,60879013417845,60879013420987,3142
tcp,engine_probe,152,60879904031626,60879904034117,2491
tcp,engine_probe,153,60880062233981,60880062236964,2983
tcp,engine_probe,156,60882384663141,60882384667224,4083
tcp,engine_probe,161,60888500881938,60888500886327,4389
tcp,engine_probe,164,60892103598014,60892103600802,2788
tcp,engine_probe,176,60905934593150,60905934597262,4112
tcp,engine_probe,180,60908343148646,60908343153009,4363
tcp,engine_probe,181,60912616467661,60912616472560,4899
tcp,engine_probe,187,60916540605120,60916540607702,2582
tcp,engine_probe,190,60918691085809,60918691088972,3163
tcp,engine_probe,192,60922541484765,60922541490301,5536
tcp,engine_probe,193,60922947962977,60922947968883,5906
tcp,engine_probe,198,60930328049863,60930328054515,4652
tcp,engine_probe,200,60930818620651,60930818625517,4866
tcp,engine_probe,202,60931047959562,60931047962844,3282
tcp,engine_probe,203,60931140017604,60931140019807,2203
tcp,engine_probe,204,60932879798837,60932879800988,2151
tcp,engine_probe,207,60935513562857,60935513567985,5128
tcp,engine_probe,210,60939220405352,60939220410843,5491
tcp,engine_probe,224,60945710084157,60945710088808,4651
tcp,engine_probe,225,60946113525070,60946113527399,2329
tcp,engine_probe,228,60948065597331,60948065601609,4278
tcp,engine_probe,239,60960796048330,60960796053039,4709
tcp,engine_probe,240,60961009316155,60961009320890,4735
tcp,engine_probe,255,60986186546914,60986186550434,3520
tcp,engine_probe,256,60986249641107,60986249643171,2064
tcp,engine_probe,257,60986690128217,60986690130547,2330
tcp,engine_probe,265,60993437000304,60993437005767,5463
tcp,engine_probe,270,60997550022572,60997550027743,5171
tcp,engine_probe,273,61001940040386,61001940042548,2162
tcp,engine_probe,277,61005841082995,61005841086019,3024
tcp,engine_probe,279,61006836038017,61006836043690,5673
tcp,engine_probe,281,61007898195087,61007898197546,2459
tcp,engine_probe,282,61007898213088,61007898214202,1114
tcp,engine_probe,283,61009128052008,61009128056925,4917
tcp,engine_probe,284,61009329296651,61009329301209,4558
tcp,engine_probe,287,61014032034409,61014032037561,3152
tcp,engine_probe,288,61016900940406,61016900943135,2729
tcp,engine_probe,294,61022965096330,61022965101772,5442
tcp,engine_probe,297,61028487659275,61028487661885,2610
tcp,engine_probe,299,61029947204630,61029947207395,2765
tcp,engine_probe,305,61035647983978,61035647986983,3005
tcp,engine_probe,307,61037318669293,61037318674367,5074
tcp,engine_probe,312,61044944035670,61044944039792,4122
tcp,engine_probe,313,61047488472861,61047488477975,5114
tcp,engine_probe,315,61051136052017,61051136056910,4893
tcp,engine_probe,316,61053326296749,61053326301942,5193
tcp,engine_probe,318,61055917968899,61055917973084,4185
tcp,engine_probe,324,61061296035622,61061296040755,5133
tcp,engine_probe,327,61062485343475,61062485346962,3487
tcp,engine_probe,333,61067164322700,61067164327648,4948
tcp,engine_probe,335,61068378611065,61068378615725,4660
tcp,engine_probe,337,61070394717242,61070394722268,5026
tcp,engine_probe,340,61074738192800,61074738197284,4484
tcp,engine_probe,343,61075657245175,61075657250283,5108
tcp,engine_probe,344,61076435073095,61076435077602,4507
tcp,engine_probe,348,61084345086938,61084345092193,5255
tcp,engine_probe,350,61085955788465,61085955793450,4985
tcp,engine_probe,351,61085955813158,61085955814331,1173
tcp,engine_probe,354,61088204033863,61088204037825,3962
tcp,engine_probe,355,61088465342934,61088465345857,2923
tcp,engine_probe,357,61092142428535,61092142434050,5515
tcp,engine_probe,360,61096563960823,61096563963973,3150
tcp,engine_probe,369,61106299903944,61106299906999,3055
tcp,engine_probe,372,61110724050489,61110724055534,5045
tcp,engine_probe,375,61114182631189,61114182635969,4780
tcp,engine_probe,387,61128511193001,61128511198447,5446
tcp,engine_probe,389,61129579345345,61129579350291,4946
tcp,engine_probe,391,61131777623520,61131777627422,3902
tcp,engine_probe,392,61131810698547,61131810699839,1292
tcp,engine_probe,394,61133212034908,61133212040249,5341
tcp,engine_probe,395,61133212072200,61133212073461,1261
tcp,engine_probe,396,61133933838498,61133933843759,5261
tcp,engine_probe,399,61137487546129,61137487549451,3322
tcp,engine_probe,407,61146153831636,61146153836520,4884
tcp,engine_probe,408,61146548044304,61146548050818,6514
tcp,engine_probe,409,61147623176772,61147623183140,6368
tcp,engine_probe,411,61147834462303,61147834467754,5451
tcp,engine_probe,413,61150446175297,61150446178891,3594
tcp,engine_probe,418,61154163786879,61154163790101,3222
tcp,engine_probe,419,61154199860774,61154199862232,1458
tcp,engine_probe,422,61157779540479,61157779543783,3304
tcp,engine_probe,426,61160506380070,61160506385686,5616
tcp,engine_probe,427,61160722637672,61160722641743,4071
tcp,engine_probe,430,61163243993534,61163243998205,4671
tcp,engine_probe,431,61164310112159,61164310116962,4803
tcp,engine_probe,433,61168992024816,61168992027865,3049
tcp,engine_probe,437,61172458626377,61172458629496,3119
tcp,engine_probe,439,61175028034703,61175028040453,5750
tcp,engine_probe,442,61179016039335,61179016041519,2184
tcp,engine_probe,444,61182364488975,61182364494360,5385
tcp,engine_probe,448,61186682408999,61186682414502,5503
tcp,engine_probe,458,61202800037409,61202800042767,5358
tcp,engine_probe,464,61215749503698,61215749509041,5343
tcp,engine_probe,465,61215749527295,61215749528367,1072
tcp,engine_probe,467,61217255121470,61217255124069,2599
tcp,engine_probe,472,61226866587541,61226866593372,5831
tcp,engine_probe,475,61229489703237,61229489707892,4655
tcp,engine_probe,476,61229629885506,61229629888382,2876
tcp,engine_probe,481,61235422808088,61235422810961,2873
tcp,engine_probe,482,61236526963169,61236526968130,4961
tcp,engine_probe,484,61238213746437,61238213751232,4795
tcp,engine_probe,488,61242434360254,61242434363238,2984
tcp,engine_probe,489,61243619599473,61243619604357,4884
tcp,engine_probe,490,61244340048504,61244340052929,4425
tcp,engine_probe,493,61249868636720,61249868642220,5500
tcp,engine_probe,496,61253613091743,61253613095704,3961
tcp,engine_probe,498,61256321876419,61256321880555,4136
tcp,engine_probe,499,61257142749395,61257142753857,4462
tcp,engine_probe,503,61259363704031,61259363706528,2497
tcp,engine_probe,504,61259751136414,61259751139538,3124
tcp,engine_probe,505,61261243669144,61261243672672,3528
tcp,engine_probe,506,61262989462401,61262989465874,3473
tcp,engine_probe,509,61263534119221,61263534122198,2977
tcp,engine_probe,512,61265591274112,61265591279149,5037
tcp,engine_probe,515,61272111885100,61272111890085,4985
tcp,engine_probe,519,61275113578787,61275113584126,5339
tcp,engine_probe,522,61279660045654,61279660051250,5596
tcp,engine_probe,524,61287040035431,61287040040510,5079
tcp,engine_probe,528,61291159692827,61291159697311,4484
tcp,engine_probe,534,61295549204019,61295549209226,5207
tcp,engine_probe,535,61295974681719,61295974686661,4942
tcp,engine_probe,536,61301028790640,61301028795462,4822
tcp,engine_probe,538,61303673691619,61303673696293,4674
tcp,engine_probe,552,61321918041456,61321918045782,4326
tcp,engine_probe,553,61322818986346,61322818989011,2665
tcp,engine_probe,555,61324245510427,61324245515395,4968
tcp,engine_probe,567,61341045454478,61341045459495,5017
tcp,engine_probe,571,61344703264897,61344703270314,5417
tcp,engine_probe,575,61346639370553,61346639375145,4592
tcp,engine_probe,577,61350660036694,61350660041414,4720
tcp,engine_probe,583,61359578102003,61359578105523,3520
tcp,engine_probe,586,61362342981522,61362342984799,3277
tcp,engine_probe,589,61368193423864,61368193428837,4973
tcp,engine_probe,590,61368795077253,61368795082071,4818
tcp,engine_probe,592,61371724046984,61371724050144,3160
tcp,engine_probe,601,61381689028811,61381689033782,4971
tcp,engine_probe,607,61385328898508,61385328903748,5240
tcp,engine_probe,608,61385798419632,61385798424504,4872
tcp,engine_probe,614,61390841517306,61390841521442,4136
tcp,engine_probe,615,61390841533907,61390841535095,1188
tcp,engine_probe,617,61392809589547,61392809594345,4798
tcp,engine_probe,618,61393960050696,61393960055559,4863
tcp,engine_probe,619,61400028033455,61400028038822,5367
tcp,engine_probe,631,61410539605909,61410539610594,4685
tcp,engine_probe,634,61414115301710,61414115306280,4570
tcp,engine_probe,637,61416084418283,61416084422594,4311
tcp,engine_probe,642,61424168046114,61424168050178,4064
tcp,engine_probe,654,61437348037073,61437348058001,20928
tcp,engine_probe,658,61443438195652,61443438200241,4589
tcp,engine_probe,659,61443720531168,61443720536364,5196
tcp,engine_probe,662,61446319250792,61446319255597,4805
tcp,engine_probe,663,61448979964273,61448979969020,4747
tcp,engine_probe,665,61453753810501,61453753814687,4186
tcp,engine_probe,669,61459722861643,61459722867988,6345
tcp,engine_probe,671,61460093344313,61460093347617,3304
tcp,engine_probe,676,61467526557496,61467526560948,3452
tcp,engine_probe,686,61479267423190,61479267428085,4895
tcp,engine_probe,688,61483934391568,61483934396416,4848
tcp,engine_probe,695,61487545728742,61487545733279,4537
tcp,engine_probe,703,61504780008893,61504780027362,18469
tcp,engine_probe,704,61506414708070,61506414713161,5091
tcp,engine_probe,708,61509313369630,61509313372789,3159
tcp,engine_probe,718,61526311485388,61526311489299,3911
tcp,engine_probe,721,61527561840412,61527561845576,5164
tcp,engine_probe,742,61551234652388,61551234655315,2927
tcp,engine_probe,745,61556006931714,61556006936615,4901
tcp,engine_probe,746,61556438415440,61556438420092,4652
tcp,engine_probe,748,61557544048645,61557544052156,3511
tcp,engine_probe,749,61557547123738,61557547124700,962
tcp,engine_probe,752,61561096049306,61561096052979,3673
tcp,engine_probe,753,61563821903535,61563821908058,4523
tcp,engine_probe,758,61565864630667,61565864634282,3615
tcp,engine_probe,760,61567568418555,61567568423568,5013
tcp,engine_probe,761,61567651551269,61567651555029,3760
tcp,engine_probe,768,61576929979232,61576929982647,3415
tcp,engine_probe,770,61578953089691,61578953094778,5087
tcp,engine_probe,774,61581681977868,61581681982099,4231
tcp,engine_probe,775,61582322668591,61582322672812,4221
tcp,engine_probe,777,61583713081441,61583713084119,2678
tcp,engine_probe,778,61587732049029,61587732054189,5160
tcp,engine_probe,780,61591178486490,61591178492475,5985
tcp,engine_probe,783,61595003972476,61595003976930,4454
tcp,engine_probe,786,61603112050568,61603112055101,4533
tcp,engine_probe,789,61604586570164,61604586575882,5718
tcp,engine_probe,796,61612382678989,61612382684397,5408
tcp,engine_probe,797,61612908035253,61612908040034,4781
tcp,engine_probe,800,61613902145385,61613902149385,4000
tcp,engine_probe,802,61616544051190,61616544055754,4564
tcp,engine_probe,803,61617795352104,61617795357247,5143
tcp,engine_probe,806,61620081780953,61620081783968,3015
tcp,engine_probe,810,61625433203042,61625433208500,5458
tcp,engine_probe,811,61627113949374,61627113954084,4710
tcp,engine_probe,819,61632223127621,61632223132422,4801
tcp,engine_probe,820,61635541495170,61635541500171,5001
tcp,engine_probe,825,61640453465044,61640453470098,5054
tcp,engine_probe,831,61648735855024,61648735859946,4922
tcp,engine_probe,835,61653623869174,61653623872284,3110
tcp,engine_probe,839,61656100034075,61656100039062,4987
