transport,execution_mode,trade_id,received_ns,send_started_ns,tto_ns
tcp,engine_spin,33,68700723558708,68700723562236,3528
tcp,engine_spin,34,68701044931970,68701044937378,5408
tcp,engine_spin,35,68701818763454,68701818768687,5233
tcp,engine_spin,36,68702083074547,68702083080845,6298
tcp,engine_spin,44,68709712047918,68709712054075,6157
tcp,engine_spin,47,68713687130415,68713687134855,4440
tcp,engine_spin,49,68714752049754,68714752054969,5215
tcp,engine_spin,50,68715483832236,68715483837707,5471
tcp,engine_spin,53,68718329819409,68718329823513,4104
tcp,engine_spin,57,68721392037799,68721392044018,6219
tcp,engine_spin,62,68723820665434,68723820670531,5097
tcp,engine_spin,67,68725828847500,68725828853769,6269
tcp,engine_spin,68,68726529600481,68726529604061,3580
tcp,engine_spin,69,68726840961048,68726840966274,5226
tcp,engine_spin,72,68736495729096,68736495735273,6177
tcp,engine_spin,83,68748646996105,68748646999167,3062
tcp,engine_spin,84,68750839240706,68750839247975,7269
tcp,engine_spin,85,68753508030434,68753508036946,6512
tcp,engine_spin,89,68756587257773,68756587263519,5746
tcp,engine_spin,91,68759019784491,68759019790764,6273
tcp,engine_spin,94,68766062936256,68766062941712,5456
tcp,engine_spin,98,68768858808315,68768858811758,3443
tcp,engine_spin,99,68769792036786,68769792042832,6046
tcp,engine_spin,109,68776672029762,68776672034413,4651
tcp,engine_spin,112,68781740198534,68781740201322,2788
tcp,engine_spin,115,68782224831817,68782224835840,4023
tcp,engine_spin,121,68785523257198,68785523261915,4717
tcp,engine_spin,124,68787867721473,68787867726987,5514
tcp,engine_spin,127,68790147128211,68790147133412,5201
tcp,engine_spin,140,68802966055375,68802966061344,5969
tcp,engine_spin,143,68804007212147,68804007218406,6259
tcp,engine_spin,145,68804919183006,68804919186199,3193
tcp,engine_spin,146,68806288603136,68806288609404,6268
tcp,engine_spin,149,68809464023278,68809464026626,3348
tcp,engine_spin,151,68819492128218,68819492133038,4820
tcp,engine_spin,152,68820383068907,68820383071303,2396
tcp,engine_spin,153,68820541268478,68820541272257,3779
tcp,engine_spin,156,68822863700402,68822863706378,5976
tcp,engine_spin,161,68828978924176,68828978930060,5884
tcp,engine_spin,164,68832582550555,68832582555367,4812
tcp,engine_spin,176,68846412038287,68846412044374,6087
tcp,engine_spin,180,68848821580545,68848821584305,3760
tcp,engine_spin,181,68853092037414,68853092043220,5806
tcp,engine_spin,187,68857019199502,68857019205091,5589
tcp,engine_spin,190,68859170242424,68859170248429,6005
