transport,execution_mode,trade_id,received_ns,send_started_ns,tto_ns
tcp,engine_wait,33,64461092962006,64461093052023,90017
tcp,engine_wait,34,64461414614466,64461414709780,95314
tcp,engine_wait,35,64462187743119,64462187835770,92651
tcp,engine_wait,36,64462452351344,64462452448203,96859
tcp,engine_wait,44,64470081770562,64470081865095,94533
tcp,engine_wait,47,64474056869363,64474056951777,82414
tcp,engine_wait,49,64475122467566,64475122558710,91144
tcp,engine_wait,50,64475853539089,64475853630595,91506
tcp,engine_wait,53,64478698619748,64478698712775,93027
tcp,engine_wait,57,64481761699578,64481761794331,94753
tcp,engine_wait,62,64484190076102,64484190170974,94872
tcp,engine_wait,67,64486198935751,64486199026904,91153
tcp,engine_wait,68,64486898945513,64486899033548,88035
tcp,engine_wait,69,64487210531959,64487210613493,81534
tcp,engine_wait,72,64496864656485,64496864749499,93014
tcp,engine_wait,83,64509016233471,64509016324981,91510
tcp,engine_wait,84,64511208690959,64511208783753,92794
tcp,engine_wait,85,64513876100021,64513876145582,45561
tcp,engine_wait,89,64516956796078,64516956885570,89492
tcp,engine_wait,91,64519389727023,64519389792349,65326
tcp,engine_wait,94,64526432844328,64526432895233,50905
tcp,engine_wait,98,64529228104792,64529228194782,89990
tcp,engine_wait,99,64530162371357,64530162466168,94811
tcp,engine_wait,109,64537040895586,64537040987127,91541
tcp,engine_wait,112,64542109308617,64542109397318,88701
tcp,engine_wait,115,64542594416951,64542594507330,90379
tcp,engine_wait,121,64545892673640,64545892763813,90173
tcp,engine_wait,124,64548237533890,64548237624812,90922
tcp,engine_wait,127,64550517068694,64550517163815,95121
tcp,engine_wait,140,64563335496834,64563335587075,90241
tcp,engine_wait,143,64564377130524,64564377224986,94462
tcp,engine_wait,145,64565288201272,64565288296940,95668
tcp,engine_wait,146,64566657915816,64566658012328,96512
tcp,engine_wait,149,64569832119810,64569832178413,58603
tcp,engine_wait,151,64579864387119,64579864470345,83226
tcp,engine_wait,152,64580752783193,64580752825785,42592
tcp,engine_wait,153,64580910208398,64580910291634,83236
tcp,engine_wait,156,64583233190478,64583233285247,94769
tcp,engine_wait,161,64589349218835,64589349307678,88843
tcp,engine_wait,164,64592951468815,64592951556989,88174
tcp,engine_wait,176,64606782683156,64606782760472,77316
tcp,engine_wait,180,64609190785191,64609190910907,125716
tcp,engine_wait,181,64613464154420,64613464199450,45030
tcp,engine_wait,187,64617388951027,64617388995404,44377
tcp,engine_wait,190,64619539045023,64619539147289,102266
tcp,engine_wait,192,64623389398099,64623389444486,46387
tcp,engine_wait,193,64623796107911,64623796170862,62951
tcp,engine_wait,198,64631176766895,64631176816575,49680
tcp,engine_wait,200,64631666690086,64631666784964,94878
tcp,engine_wait,202,64631896339801,64631896430510,90709
tcp,engine_wait,203,64631988754803,64631988845759,90956
tcp,engine_wait,204,64633727797300,64633727878900,81600
tcp,engine_wait,207,64636360202079,64636360255954,53875
tcp,engine_wait,210,64640068136323,64640068231050,94727
tcp,engine_wait,224,64646558721352,64646558809438,88086
tcp,engine_wait,225,64646961434376,64646961525998,91622
tcp,engine_wait,228,64648913039723,64648913095890,56167
tcp,engine_wait,239,64661644767185,64661644824345,57160
tcp,engine_wait,240,64661857275819,64661857371058,95239
tcp,engine_wait,255,64687035360918,64687035456744,95826
tcp,engine_wait,256,64687097745095,64687097828371,83276
tcp,engine_wait,257,64687538511782,64687538606385,94603
tcp,engine_wait,265,64694285663669,64694285758728,95059
tcp,engine_wait,270,64698397787487,64698397882235,94748
tcp,engine_wait,273,64702788830108,64702788914803,84695
tcp,engine_wait,277,64706689460871,64706689539909,79038
tcp,engine_wait,279,64707684952477,64707685036619,84142
tcp,engine_wait,281,64708745523946,64708745617806,93860
tcp,engine_wait,282,64708745542439,64708745651260,108821
tcp,engine_wait,283,64709976098432,64709976147339,48907
tcp,engine_wait,284,64710177554737,64710177622046,67309
tcp,engine_wait,287,64714882786672,64714882877621,90949
tcp,engine_wait,288,64717748956714,64717749049344,92630
tcp,engine_wait,294,64723813979885,64723814069339,89454
tcp,engine_wait,297,64729335247961,64729335337160,89199
tcp,engine_wait,299,64730795847247,64730795934109,86862
tcp,engine_wait,305,64736496094694,64736496185947,91253
tcp,engine_wait,307,64738167109910,64738167189989,80079
tcp,engine_wait,312,64745792185306,64745792258440,73134
tcp,engine_wait,313,64748339055130,64748339147711,92581
tcp,engine_wait,315,64751985197696,64751985249095,51399
tcp,engine_wait,316,64754172955381,64754173015618,60237
tcp,engine_wait,318,64756765934506,64756766022018,87512
tcp,engine_wait,324,64762144198068,64762144264288,66220
tcp,engine_wait,327,64763333108246,64763333146957,38711
tcp,engine_wait,333,64768012206061,64768012266069,60008
tcp,engine_wait,335,64769226810986,64769226902973,91987
tcp,engine_wait,337,64771242943841,64771243032281,88440
tcp,engine_wait,340,64775586535189,64775586626960,91771
tcp,engine_wait,343,64776506062346,64776506153731,91385
tcp,engine_wait,344,64777283158547,64777283250901,92354
tcp,engine_wait,348,64785192870756,64785192963161,92405
tcp,engine_wait,350,64786804211012,64786804291903,80891
tcp,engine_wait,351,64786804223187,64786804316876,93689
tcp,engine_wait,354,64789053030507,64789053113720,83213
tcp,engine_wait,355,64789313495278,64789313591867,96589
tcp,engine_wait,357,64792990721294,64792990815636,94342
tcp,engine_wait,360,64797411659878,64797411751109,91231
tcp,engine_wait,369,64807148528877,64807148621891,93014
tcp,engine_wait,372,64811572134013,64811572194797,60784
tcp,engine_wait,375,64815030237120,64815030331152,94032
tcp,engine_wait,387,64829359101147,64829359165726,64579
tcp,engine_wait,389,64830427535983,64830427622021,86038
tcp,engine_wait,391,64832625331797,64832625419172,87375
tcp,engine_wait,392,64832659674541,64832659757470,82929
tcp,engine_wait,394,64834060193935,64834060255151,61216
tcp,engine_wait,395,64834060214808,64834060309843,95035
tcp,engine_wait,396,64834782257525,64834782316374,58849
tcp,engine_wait,399,64838336122416,64838336212514,90098
tcp,engine_wait,407,64847002109681,64847002208633,98952
tcp,engine_wait,408,64847396769981,64847396867575,97594
tcp,engine_wait,409,64848471145753,64848471233631,87878
tcp,engine_wait,411,64848682863437,64848682930827,67390
tcp,engine_wait,413,64851293928736,64851294019198,90462
tcp,engine_wait,418,64855011579604,64855011670265,90661
tcp,engine_wait,419,64855047919009,64855047977068,58059
tcp,engine_wait,422,64858627127464,64858627215480,88016
tcp,engine_wait,426,64861354606229,64861354711009,104780
tcp,engine_wait,427,64861570155565,64861570248753,93188
tcp,engine_wait,430,64864092280713,64864092342878,62165
tcp,engine_wait,431,64865158470866,64865158533276,62410
tcp,engine_wait,433,64869842582525,64869842674739,92214
tcp,engine_wait,437,64873306841833,64873306892176,50343
tcp,engine_wait,439,64875876200120,64875876296701,96581
tcp,engine_wait,442,64879863836088,64879863909189,73101
tcp,engine_wait,444,64883212194920,64883212247640,52720
tcp,engine_wait,448,64887531272066,64887531362784,90718
tcp,engine_wait,458,64903649610874,64903649706602,95728
tcp,engine_wait,464,64916597372691,64916597470652,97961
tcp,engine_wait,465,64916597372691,64916597528415,155724
tcp,engine_wait,467,64918103392143,64918103489600,97457
tcp,engine_wait,472,64927715061342,64927715176348,115006
tcp,engine_wait,475,64930337782377,64930337875156,92779
tcp,engine_wait,476,64930478266337,64930478358916,92579
tcp,engine_wait,481,64936271169522,64936271273036,103514
tcp,engine_wait,482,64937375532370,64937375628139,95769
tcp,engine_wait,484,64939062686081,64939062725298,39217
tcp,engine_wait,488,64943282768510,64943282858793,90283
tcp,engine_wait,489,64944467290867,64944467344384,53517
tcp,engine_wait,490,64945189312714,64945189402266,89552
tcp,engine_wait,493,64950720203082,64950720296940,93858
tcp,engine_wait,496,64954461497759,64954461589818,92059
tcp,engine_wait,498,64957170594191,64957170686490,92299
tcp,engine_wait,499,64957990740024,64957990833701,93677
tcp,engine_wait,503,64960212682234,64960212758771,76537
tcp,engine_wait,504,64960599336415,64960599401236,64821
tcp,engine_wait,505,64962092133959,64962092233267,99308
tcp,engine_wait,506,64963838186672,64963838280094,93422
tcp,engine_wait,509,64964382227535,64964382309721,82186
tcp,engine_wait,512,64966439293592,64966439388781,95189
tcp,engine_wait,515,64972959584409,64972959643654,59245
tcp,engine_wait,519,64975962002630,64975962096578,93948
tcp,engine_wait,522,64980508211335,64980508272685,61350
tcp,engine_wait,524,64987887790208,64987887872118,81910
tcp,engine_wait,528,64992007661603,64992007717746,56143
tcp,engine_wait,534,64996396627638,64996396696457,68819
tcp,engine_wait,535,64996822358443,64996822448977,90534
tcp,engine_wait,536,65001882756037,65001882847118,91081
tcp,engine_wait,538,65004521898953,65004521993202,94249
tcp,engine_wait,552,65022766472452,65022766569759,97307
tcp,engine_wait,553,65023667692419,65023667787283,94864
tcp,engine_wait,555,65025092190717,65025092271568,80851
tcp,engine_wait,567,65041894524412,65041894619399,94987
tcp,engine_wait,571,65045551036301,65045551126755,90454
tcp,engine_wait,575,65047487825999,65047487919558,93559
tcp,engine_wait,577,65051506831482,65051506883228,51746
tcp,engine_wait,583,65060426384762,65060426477163,92401
tcp,engine_wait,586,65063191210683,65063191307045,96362
tcp,engine_wait,589,65069041490279,65069041543175,52896
tcp,engine_wait,590,65069643406099,65069643497445,91346
tcp,engine_wait,592,65072573821152,65072573915481,94329
