transport,execution_mode,trade_id,status,send_ns,receive_ns,latency_ns
grpc,engine_probe,33,A,73514692521632,73514692953817,432185
grpc,engine_probe,34,A,73515015320546,73515015773467,452921
grpc,engine_probe,35,A,73515788026153,73515788489910,463757
grpc,engine_probe,36,A,73516052862796,73516053268335,405539
grpc,engine_probe,44,A,73523682041113,73523682544078,502965
grpc,engine_probe,47,A,73527656920489,73527657380757,460268
grpc,engine_probe,49,A,73528722633344,73528723134790,501446
grpc,engine_probe,50,A,73529452913043,73529453319343,406300
grpc,engine_probe,53,R,73532299466563,73532299834722,368159
grpc,engine_probe,57,A,73535362346046,73535362855946,509900
grpc,engine_probe,62,R,73537789796781,73537790275089,478308
grpc,engine_probe,67,R,73539798759279,73539799059543,300264
grpc,engine_probe,68,R,73540498791123,73540499222000,430877
grpc,engine_probe,69,R,73540810574550,73540811020887,446337
grpc,engine_probe,72,A,73550464031632,73550464437078,405446
grpc,engine_probe,83,A,73562616193690,73562616592342,398652
grpc,engine_probe,84,A,73564808830151,73564809323792,493641
grpc,engine_probe,85,A,73567476032607,73567476517452,484845
grpc,engine_probe,89,A,73570557038701,73570557530794,492093
grpc,engine_probe,91,A,73572988786221,73572989286972,500751
grpc,engine_probe,94,A,73580032939678,73580033193478,253800
grpc,engine_probe,98,A,73582828015701,73582828357487,341786
grpc,engine_probe,99,A,73583761851320,73583762183868,332548
grpc,engine_probe,109,A,73590641136189,73590641444360,308171
grpc,engine_probe,112,A,73595709284095,73595709676405,392310
grpc,engine_probe,115,R,73596194420373,73596194731275,310902
grpc,engine_probe,121,A,73599492644809,73599493031958,387149
grpc,engine_probe,124,A,73601837672883,73601838212416,539533
grpc,engine_probe,127,A,73604116807536,73604117278518,470982
grpc,engine_probe,140,A,73616936029026,73616936506552,477526
grpc,engine_probe,143,A,73617976804211,73617977274914,470703
grpc,engine_probe,145,A,73618888027105,73618888470235,443130
grpc,engine_probe,146,R,73620257887728,73620258245387,357659
grpc,engine_probe,149,R,73623434671315,73623435120981,449666
grpc,engine_probe,151,A,73633461851460,73633462301955,450495
grpc,engine_probe,152,A,73634352029302,73634352421871,392569
grpc,engine_probe,153,A,73634510625805,73634511109338,483533
grpc,engine_probe,156,R,73636832036293,73636832470049,433756
grpc,engine_probe,161,R,73642949187930,73642949684797,496867
grpc,engine_probe,164,R,73646551552931,73646555669700,4116769
grpc,engine_probe,176,A,73660382544786,73660383071844,527058
grpc,engine_probe,180,A,73662790918338,73662791393729,475391
grpc,engine_probe,181,A,73667064255449,73667064746343,490894
grpc,engine_probe,187,A,73670989132525,73670989559765,427240
grpc,engine_probe,190,A,73673139976386,73673140475134,498748
grpc,engine_probe,192,A,73676989518342,73676989932890,414548
grpc,engine_probe,193,A,73677396389358,73677396818511,429153
grpc,engine_probe,198,A,73684776850649,73684777320905,470256
grpc,engine_probe,200,A,73685266984354,73685267508416,524062
grpc,engine_probe,202,R,73685496933069,73685497312730,379661
grpc,engine_probe,203,R,73685588434914,73685588761815,326901
grpc,engine_probe,204,A,73687328036285,73687328474192,437907
grpc,engine_probe,207,R,73689961419186,73689961903089,483903
grpc,engine_probe,210,A,73693668029429,73693668517093,487664
grpc,engine_probe,224,R,73700158989880,73700159360551,370671
grpc,engine_probe,225,R,73700561790180,73700562234802,444622
grpc,engine_probe,228,A,73702513453391,73702513920187,466796
grpc,engine_probe,239,A,73715244734689,73715245230482,495793
grpc,engine_probe,240,A,73715457494969,73715458004668,509699
grpc,engine_probe,255,A,73740634624361,73740635136773,512412
grpc,engine_probe,256,A,73740697242576,73740697618209,375633
grpc,engine_probe,257,A,73741139106382,73741139622993,516611
grpc,engine_probe,265,A,73747885525131,73747886004940,479809
grpc,engine_probe,270,A,73751997689677,73751998214921,525244
grpc,engine_probe,273,A,73756388029395,73756388455429,426034
grpc,engine_probe,277,A,73760290155115,73760290709773,554658
grpc,engine_probe,279,A,73761284467731,73761284890557,422826
grpc,engine_probe,281,R,73762346125831,73762346632256,506425
grpc,engine_probe,282,R,73762346225213,73762346656238,431025
grpc,engine_probe,283,R,73763576029426,73763576466873,437447
grpc,engine_probe,284,R,73763777713906,73763778115266,401360
grpc,engine_probe,287,R,73768483123167,73768483605245,482078
grpc,engine_probe,288,R,73771349512981,73771349973607,460626
grpc,engine_probe,294,A,73777413482757,73777413972061,489304
grpc,engine_probe,297,A,73782935911288,73782936343321,432033
grpc,engine_probe,299,A,73784396028558,73784396464171,435613
grpc,engine_probe,305,A,73790096712654,73790097185180,472526
grpc,engine_probe,307,A,73791768029141,73791768496147,467006
grpc,engine_probe,312,A,73799392031639,73799392448317,416678
grpc,engine_probe,313,A,73801939038151,73801939559339,521188
grpc,engine_probe,315,A,73805585358987,73805585787732,428745
grpc,engine_probe,316,A,73807775000171,73807775515957,515786
grpc,engine_probe,318,R,73810366281541,73810366701372,419831
grpc,engine_probe,324,A,73815744432539,73815744944650,512111
grpc,engine_probe,327,A,73816933432633,73816933811024,378391
grpc,engine_probe,333,A,73821612638527,73821613068169,429642
grpc,engine_probe,335,A,73822827460088,73822827947134,487046
grpc,engine_probe,337,A,73824842729325,73824843233034,503709
grpc,engine_probe,340,R,73829186424731,73829186914867,490136
grpc,engine_probe,343,R,73830106135191,73830107326424,1191233
grpc,engine_probe,344,R,73830883147491,73830883630067,482576
