transport,execution_mode,trade_id,status,send_ns,receive_ns,latency_ns
tcp,engine_probe,33,A,60760244011034,60760244037011,25977
tcp,engine_probe,34,A,60760566372468,60760566410310,37842
tcp,engine_probe,35,A,60761340011928,60761340066812,54884
tcp,engine_probe,36,A,60761604345437,60761604380911,35474
tcp,engine_probe,44,A,60769234059409,60769234092055,32646
tcp,engine_probe,47,A,60773208571429,60773208605317,33888
tcp,engine_probe,49,A,60774273728083,60774273763304,35221
tcp,engine_probe,50,A,60775004027500,60775004063411,35911
tcp,engine_probe,53,R,60777850998608,60777851036937,38329
tcp,engine_probe,57,A,60780913547280,60780913584716,37436
tcp,engine_probe,62,R,60783341168984,60783341207223,38239
tcp,engine_probe,67,R,60785350361068,60785350400420,39352
tcp,engine_probe,68,R,60786051114711,60786051156760,42049
tcp,engine_probe,69,R,60786362481125,60786362518433,37308
tcp,engine_probe,72,A,60796016014479,60796016069939,55460
tcp,engine_probe,83,A,60808168085782,60808168104426,18644
tcp,engine_probe,84,A,60810360028014,60810360066914,38900
tcp,engine_probe,85,A,60813028028201,60813028066502,38301
tcp,engine_probe,89,A,60816108654417,60816108680899,26482
tcp,engine_probe,91,A,60818540012292,60818540044810,32518
tcp,engine_probe,94,A,60825584027260,60825584065504,38244
tcp,engine_probe,98,A,60828380027893,60828380056359,28466
tcp,engine_probe,99,A,60829314003965,60829314033494,29529
tcp,engine_probe,109,A,60836192984314,60836193004182,19868
tcp,engine_probe,112,A,60841261140069,60841261154949,14880
tcp,engine_probe,115,R,60841745753445,60841745768852,15407
tcp,engine_probe,121,A,60845044253251,60845044281311,28060
tcp,engine_probe,124,A,60847389702507,60847389738342,35835
tcp,engine_probe,127,A,60849668746540,60849668779698,33158
tcp,engine_probe,140,A,60862487167949,60862487200004,32055
tcp,engine_probe,143,A,60863528012452,60863528049868,37416
tcp,engine_probe,145,A,60864439993132,60864440035380,42248
tcp,engine_probe,146,R,60865809419228,60865809458890,39662
tcp,engine_probe,149,R,60868986299901,60868986334412,34511
tcp,engine_probe,151,A,60879013410263,60879013427878,17615
tcp,engine_probe,152,A,60879904014802,60879904045072,30270
tcp,engine_probe,153,A,60880062217817,60880062248284,30467
tcp,engine_probe,156,R,60882384640325,60882384677528,37203
tcp,engine_probe,161,R,60888500861142,60888500897788,36646
tcp,engine_probe,164,R,60892103586312,60892103611385,25073
tcp,engine_probe,176,A,60905934570543,60905934607899,37356
tcp,engine_probe,180,A,60908343126222,60908343164741,38519
tcp,engine_probe,181,A,60912616449909,60912616483887,33978
tcp,engine_probe,187,A,60916540596607,60916540618802,22195
tcp,engine_probe,190,A,60918691076421,60918694927606,3851185
tcp,engine_probe,192,A,60922541461004,60922541501857,40853
tcp,engine_probe,193,A,60922947928098,60922947984606,56508
tcp,engine_probe,198,A,60930328028834,60930328065028,36194
tcp,engine_probe,200,A,60930818596018,60930818637078,41060
tcp,engine_probe,202,R,60931047948596,60931047973266,24670
tcp,engine_probe,203,R,60931140010073,60931140029064,18991
tcp,engine_probe,204,A,60932879780040,60932879814133,34093
tcp,engine_probe,207,R,60935513539920,60935513578240,38320
tcp,engine_probe,210,A,60939220384345,60939220421690,37345
tcp,engine_probe,224,R,60945710063692,60945710100100,36408
tcp,engine_probe,225,R,60946113515428,60946113538160,22732
tcp,engine_probe,228,A,60948065579671,60948065612456,32785
tcp,engine_probe,239,A,60960796027746,60960796063716,35970
tcp,engine_probe,240,A,60961009293869,60961009331585,37716
tcp,engine_probe,255,A,60986186533068,60986186559867,26799
tcp,engine_probe,256,A,60986249635165,60986249650831,15666
tcp,engine_probe,257,A,60986690107677,60986690137910,30233
tcp,engine_probe,265,A,60993436981186,60993437017154,35968
tcp,engine_probe,270,A,60997550001363,60997550038534,37171
tcp,engine_probe,273,A,61001940027992,61001940053424,25432
tcp,engine_probe,277,A,61005841070364,61005841097705,27341
tcp,engine_probe,279,A,61006836012356,61006836055647,43291
tcp,engine_probe,281,R,61007898183414,61007898209298,25884
tcp,engine_probe,282,R,61007898198127,61007898218499,20372
tcp,engine_probe,283,R,61009128028737,61009128068575,39838
tcp,engine_probe,284,R,61009329282432,61009329312413,29981
tcp,engine_probe,287,R,61014032016812,61014032049277,32465
tcp,engine_probe,288,R,61016900929568,61016900952463,22895
tcp,engine_probe,294,A,61022965074029,61022965112475,38446
tcp,engine_probe,297,A,61028487646117,61028487672076,25959
tcp,engine_probe,299,A,61029947196139,61029947215099,18960
tcp,engine_probe,305,A,61035647974330,61035647997730,23400
tcp,engine_probe,307,A,61037318647395,61037318685940,38545
tcp,engine_probe,312,A,61044944012376,61044944051140,38764
tcp,engine_probe,313,A,61047488448933,61047488489626,40693
tcp,engine_probe,315,A,61051136028398,61051136067774,39376
tcp,engine_probe,316,A,61053326273637,61053326312626,38989
tcp,engine_probe,318,R,61055917945280,61055917984561,39281
tcp,engine_probe,324,A,61061296012780,61061296050696,37916
tcp,engine_probe,327,A,61062485324318,61062485358578,34260
tcp,engine_probe,333,A,61067164299184,61067164338022,38838
tcp,engine_probe,335,A,61068378590422,61068378626437,36015
tcp,engine_probe,337,A,61070394695199,61070394733227,38028
tcp,engine_probe,340,R,61074738168748,61074738207891,39143
tcp,engine_probe,343,R,61075657222974,61075657260569,37595
tcp,engine_probe,344,R,61076435051525,61076435089026,37501
tcp,engine_probe,348,A,61084345063711,61084345102892,39181
tcp,engine_probe,350,A,61085955765986,61085955803913,37927
